Date,Price,Open,High,Low,Vol.,Change +ACU-
03/04/2022,25985.47,26421.85,26421.85,25774.28,,+AC0-2.23+ACU-
03/03/2022,26577.27,26628.87,26704.85,26496.72,,0.70+ACU-
03/02/2022,26393.03,26532.2,26585.3,26313.72,,+AC0-1.68+ACU-
03/01/2022,26844.72,26836.74,27013.26,26821.75,,1.20+ACU-
02/28/2022,26526.82,26457.52,26644.56,26262.63,,0.19+ACU-
02/25/2022,26476.5,26213.2,26481.6,26160.19,,1.95+ACU-
02/24/2022,25970.82,26281.35,26357.58,25775.64,,+AC0-1.81+ACU-
02/22/2022,26449.61,26515.45,26550.14,26243.73,,+AC0-1.71+ACU-
02/21/2022,26910.87,26771.58,26998.47,26549,,+AC0-0.78+ACU-
02/18/2022,27122.07,26895.16,27216.16,26792.54,,+AC0-0.41+ACU-
02/17/2022,27232.87,27431.42,27438.74,27080.92,,+AC0-0.83+ACU-
02/16/2022,27460.4,27269.05,27486.09,27227.24,,2.22+ACU-
02/15/2022,26865.19,27183.56,27205.2,26724.91,,+AC0-0.79+ACU-
02/14/2022,27079.59,27305.92,27325.5,26947.65,,+AC0-2.23+ACU-
02/10/2022,27696.08,27818.1,27880.7,27575.07,,0.42+ACU-
02/09/2022,27579.87,27488.65,27633.1,27405.88,,1.08+ACU-
02/08/2022,27284.52,27318.3,27461.33,27280.25,,0.13+ACU-
02/07/2022,27248.87,27327.63,27369.68,27085.32,,+AC0-0.70+ACU-
02/04/2022,27439.99,27095.9,27455.98,27075.99,,0.73+ACU-
02/03/2022,27241.31,27330.96,27357.33,27165.93,,+AC0-1.06+ACU-
02/02/2022,27533.6,27302.99,27564.62,27289.16,,1.68+ACU-
02/01/2022,27078.48,27167.14,27410.79,27016.71,,0.28+ACU-
01/31/2022,27001.98,26690.6,27134.57,26541.65,,1.07+ACU-
01/28/2022,26717.34,26429.85,26764.85,26289.69,,2.09+ACU-
01/27/2022,26170.3,27139.88,27193.59,26044.52,,+AC0-3.11+ACU-
01/26/2022,27011.33,27105.98,27184.54,26858.68,,+AC0-0.44+ACU-
01/25/2022,27131.34,27466.82,27493.75,26890.94,,+AC0-1.66+ACU-
01/24/2022,27588.37,27258.45,27627.6,27203.33,,0.24+ACU-
01/21/2022,27522.26,27404.36,27586.42,27129.61,,+AC0-0.90+ACU-
01/20/2022,27772.93,27401.43,27882.53,27217.59,,1.11+ACU-
01/19/2022,27467.23,27928.89,27958.17,27314.41,,+AC0-2.80+ACU-
01/18/2022,28257.25,28451.34,28690.34,28129.66,,+AC0-0.27+ACU-
01/17/2022,28333.52,28332.72,28449.99,28274.18,,0.74+ACU-
01/14/2022,28124.28,28246.99,28252.96,27889.21,,+AC0-1.28+ACU-
01/13/2022,28489.13,28658.22,28660.45,28444.96,,+AC0-0.96+ACU-
01/12/2022,28765.66,28449.53,28814.31,28427.6,,1.92+ACU-
01/11/2022,28222.48,28380.9,28473.47,28089.49,,+AC0-0.90+ACU-
01/07/2022,28478.56,28711.53,28813.09,28293.7,,+AC0-0.03+ACU-
01/06/2022,28487.87,29136.75,29158.95,28487.87,,+AC0-2.88+ACU-
01/05/2022,29332.16,29288.8,29388.16,29204.45,,0.10+ACU-
01/04/2022,29301.79,29098.41,29323.79,28954.56,,1.77+ACU-
12/30/2021,28791.71,28794.24,28904.42,28579.49,,+AC0-0.40+ACU-
12/29/2021,28906.88,28995.73,29106.28,28729.61,,+AC0-0.56+ACU-
12/28/2021,29069.16,28953.32,29121.01,28879.68,,1.37+ACU-
12/27/2021,28676.46,28786.33,28805.28,28658.82,,+AC0-0.37+ACU-
12/24/2021,28782.59,28836.05,28870.13,28773.5,,+AC0-0.05+ACU-
12/23/2021,28798.37,28703.01,28798.37,28640.15,,0.83+ACU-
12/22/2021,28562.21,28614.06,28673.77,28473.85,,0.16+ACU-
12/21/2021,28517.59,28309.6,28533.74,28226.43,,2.08+ACU-
12/20/2021,27937.81,28325.46,28441.51,27893.18,,+AC0-2.13+ACU-
12/17/2021,28545.68,28854.6,28904.94,28503.08,,+AC0-1.79+ACU-
12/16/2021,29066.32,28868.37,29070.08,28782.19,,2.13+ACU-
12/15/2021,28459.72,28358.47,28525.83,28358.47,,0.10+ACU-
12/14/2021,28432.64,28554.86,28672.96,28309.67,,+AC0-0.73+ACU-
12/13/2021,28640.49,28705.26,28793.32,28593.45,,0.71+ACU-
12/10/2021,28437.77,28542.5,28699.01,28392.87,,+AC0-1.00+ACU-
12/09/2021,28725.47,28827.32,28908.29,28725.47,,+AC0-0.47+ACU-
12/08/2021,28860.62,28792.89,28897.44,28621.47,,1.42+ACU-
12/07/2021,28455.6,28138.82,28618.46,27961.66,,1.89+ACU-
12/06/2021,27927.37,28069.96,28081.04,27693.91,,+AC0-0.36+ACU-
12/03/2021,28029.57,27841.05,28029.57,27588.61,,1.00+ACU-
12/02/2021,27753.37,27716.2,27938.55,27644.96,,+AC0-0.65+ACU-
12/01/2021,27935.62,27866.73,28106.3,27594.01,,0.41+ACU-
11/30/2021,27821.76,28611.73,28718.7,27819.14,,+AC0-1.63+ACU-
11/29/2021,28283.92,28337.96,28776.34,28187.12,,+AC0-1.63+ACU-
11/26/2021,28751.62,29324.47,29332.99,28605.61,,+AC0-2.53+ACU-
11/25/2021,29499.28,29469.65,29570.42,29444.45,,0.67+ACU-
11/24/2021,29302.66,29663.45,29758.05,29212.93,,+AC0-1.58+ACU-
11/22/2021,29774.11,29618.55,29806.49,29542.29,,0.09+ACU-
11/19/2021,29745.87,29641.05,29768.54,29589.19,,0.50+ACU-
11/18/2021,29598.66,29597.93,29715.95,29402.57,,+AC0-0.30+ACU-
11/17/2021,29688.33,29906.68,29909.97,29623.79,,+AC0-0.40+ACU-
11/16/2021,29808.12,29749.71,29960.93,29681.25,,0.11+ACU-
11/15/2021,29776.8,29807.37,29861.88,29718.21,,0.56+ACU-
11/12/2021,29609.97,29381.45,29661.22,29381.45,,1.13+ACU-
