Date,Price,Open,High,Low,Vol.,Change +ACU-
23/05/2023,7762.95,7770.99,7800.85,7747.09,697.20M,+AC0-0.10+ACU-
22/05/2023,7770.99,7756.87,7783.4,7750.53,960.83M,0.18+ACU-
19/05/2023,7756.87,7742.3,7790.92,7742.13,631.10M,0.19+ACU-
18/05/2023,7742.3,7723.23,7776.58,7723.23,751.79M,0.25+ACU-
17/05/2023,7723.23,7751.08,7758.15,7713.03,665.41M,+AC0-0.36+ACU-
16/05/2023,7751.08,7777.7,7804.93,7741.29,1.08B,+AC0-0.34+ACU-
15/05/2023,7777.7,7754.62,7794.89,7754.62,731.05M,0.30+ACU-
12/05/2023,7754.62,7730.58,7772.79,7729.01,744.75M,0.31+ACU-
11/05/2023,7730.58,7741.33,7784.28,7679.61,883.22M,+AC0-0.14+ACU-
10/05/2023,7741.33,7764.09,7778.98,7727.12,711.30M,+AC0-0.29+ACU-
09/05/2023,7764.09,7778.38,7792.35,7735.08,949.73M,+AC0-0.18+ACU-
05/05/2023,7778.38,7778.38,7778.38,7778.38,607.79M,0.98+ACU-
04/05/2023,7702.64,7788.37,7788.37,7691.25,773.16M,+AC0-1.10+ACU-
03/05/2023,7788.37,7773.03,7819.66,7773.03,896.77M,0.20+ACU-
02/05/2023,7773.03,7870.57,7898.69,7773.03,980.26M,+AC0-1.24+ACU-
28/04/2023,7870.57,7831.58,7870.57,7791.63,942.97M,0.50+ACU-
27/04/2023,7831.58,7852.64,7865.73,7816.83,668.18M,+AC0-0.27+ACU-
26/04/2023,7852.64,7891.13,7893.95,7825.93,901.07M,+AC0-0.49+ACU-
25/04/2023,7891.13,7912.2,7912.52,7863.85,646.70M,+AC0-0.27+ACU-
24/04/2023,7912.2,7914.13,7927.11,7877.58,719.42M,+AC0-0.02+ACU-
21/04/2023,7914.13,7902.61,7936.11,7886.46,627.24M,0.15+ACU-
20/04/2023,7902.61,7898.77,7902.95,7876.35,918.03M,0.05+ACU-
19/04/2023,7898.77,7909.44,7909.44,7871.43,504.39M,+AC0-0.13+ACU-
18/04/2023,7909.44,7879.51,7912.73,7879.51,530.24M,0.38+ACU-
17/04/2023,7879.51,7871.91,7916.67,7871.91,590.69M,0.10+ACU-
14/04/2023,7871.91,7843.38,7904.04,7843.38,859.07M,0.36+ACU-
13/04/2023,7843.38,7824.84,7851.57,7814.11,723.49M,0.24+ACU-
12/04/2023,7824.84,7785.72,7859.67,7783.4,714.51M,0.50+ACU-
11/04/2023,7785.72,7741.56,7806.39,7741.56,999.45M,0.57+ACU-
06/04/2023,7741.56,7662.94,7742.11,7654.54,589.45M,1.03+ACU-
05/04/2023,7662.94,7634.52,7678.45,7634.26,658.65M,0.37+ACU-
04/04/2023,7634.52,7673,7726.85,7634.52,790.99M,+AC0-0.50+ACU-
03/04/2023,7673,7631.74,7698.15,7631.74,917.72M,0.54+ACU-
31/03/2023,7631.74,7620.43,7654.41,7616.09,815.85M,0.15+ACU-
30/03/2023,7620.43,7564.27,7638.49,7564.27,666.44M,0.74+ACU-
29/03/2023,7564.27,7484.25,7566.8,7484.21,635.25M,1.07+ACU-
28/03/2023,7484.25,7471.77,7524.55,7464.61,1.15B,0.17+ACU-
27/03/2023,7471.77,7405.45,7491.74,7405.45,698.81M,0.90+ACU-
24/03/2023,7405.45,7499.6,7499.6,7335.71,859.01M,+AC0-1.26+ACU-
23/03/2023,7499.6,7566.84,7566.84,7476.13,1.22B,+AC0-0.89+ACU-
22/03/2023,7566.84,7536.22,7585.57,7505.48,892.03M,0.41+ACU-
21/03/2023,7536.22,7403.85,7557.55,7403.85,801.62M,1.79+ACU-
20/03/2023,7403.85,7335.4,7426.24,7206.82,1.08B,0.93+ACU-
17/03/2023,7335.4,7410.03,7510.47,7309.3,2.09B,+AC0-1.01+ACU-
16/03/2023,7410.03,7344.45,7458.64,7331.49,1.20B,0.89+ACU-
15/03/2023,7344.45,7637.11,7637.39,7333.35,1.33B,+AC0-3.83+ACU-
14/03/2023,7637.11,7548.63,7641.55,7503.25,873.33M,1.17+ACU-
13/03/2023,7548.63,7748.35,7752.43,7546.02,1.19B,+AC0-2.58+ACU-
10/03/2023,7748.35,7879.98,7879.98,7708.32,970.83M,+AC0-1.67+ACU-
09/03/2023,7879.98,7929.92,7930.26,7862.01,839.62M,+AC0-0.63+ACU-
08/03/2023,7929.92,7919.48,7946.62,7891.42,769.83M,0.13+ACU-
07/03/2023,7919.48,7929.79,7959.77,7909.77,862.02M,+AC0-0.13+ACU-
06/03/2023,7929.79,7947.11,7948.67,7897.45,629.33M,+AC0-0.22+ACU-
03/03/2023,7947.11,7944.04,7974.4,7920.07,640.58M,0.04+ACU-
02/03/2023,7944.04,7914.93,7945.82,7875.03,885.59M,0.37+ACU-
01/03/2023,7914.93,7876.28,7950.69,7874.34,1.12B,0.49+ACU-
28/02/2023,7876.28,7935.11,7935.11,7854.82,1.25B,+AC0-0.74+ACU-
27/02/2023,7935.11,7878.66,7949.97,7878.66,755.86M,0.72+ACU-
24/02/2023,7878.66,7907.72,7939.17,7870.39,877.16M,+AC0-0.37+ACU-
23/02/2023,7907.72,7930.63,7935.56,7888.88,974.84M,+AC0-0.29+ACU-
22/02/2023,7930.63,7977.75,7977.75,7879.03,682.44M,+AC0-0.59+ACU-
21/02/2023,7977.75,8014.31,8014.4,7952.48,889.16M,+AC0-0.46+ACU-
20/02/2023,8014.31,8004.36,8020.13,7995.46,692.41M,0.12+ACU-
17/02/2023,8004.36,8012.53,8012.53,7957.69,1.27B,+AC0-0.10+ACU-
16/02/2023,8012.53,7997.83,8047.06,7978.61,728.87M,0.18+ACU-
15/02/2023,7997.83,7953.85,8003.65,7921.32,840.60M,0.55+ACU-
14/02/2023,7953.85,7947.6,7996.35,7947.6,697.52M,0.08+ACU-
13/02/2023,7947.6,7882.45,7947.6,7881.86,570.00M,0.83+ACU-
10/02/2023,7882.45,7911.15,7913.31,7850.94,974.19M,+AC0-0.36+ACU-
09/02/2023,7911.15,7885.17,7949.57,7874.23,1.03B,0.33+ACU-
08/02/2023,7885.17,7864.71,7934.3,7864.66,586.89M,0.26+ACU-
07/02/2023,7864.71,7836.71,7890.82,7835.36,777.24M,0.36+ACU-
06/02/2023,7836.71,7901.8,7901.8,7808.39,665.68M,+AC0-0.82+ACU-
03/02/2023,7901.8,7820.16,7906.58,7806.85,713.86M,1.04+ACU-
02/02/2023,7820.16,7761.11,7837.84,7758.51,726.66M,0.76+ACU-
01/02/2023,7761.11,7771.7,7798.51,7745.43,922.17M,+AC0-0.14+ACU-
31/01/2023,7771.7,7784.87,7784.87,7708.34,828.92M,+AC0-0.17+ACU-
30/01/2023,7784.87,7765.15,7790.69,7718.33,1.12B,0.25+ACU-
27/01/2023,7765.15,7761.11,7777.4,7742.12,709.92M,0.05+ACU-
26/01/2023,7761.11,7744.87,7787.57,7744.87,828.46M,0.21+ACU-
25/01/2023,7744.87,7757.36,7773.57,7710.78,715.29M,+AC0-0.16+ACU-
24/01/2023,7757.36,7784.67,7800.89,7741.75,697.62M,+AC0-0.35+ACU-
23/01/2023,7784.67,7770.59,7811.17,7768.47,561.95M,0.18+ACU-
20/01/2023,7770.59,7747.29,7790.87,7747.29,801.06M,0.30+ACU-
